timestamp,title,app,url,goal,mode,similarity,heuristic,confidence,label
2026-03-24T22:54:36.007663,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,PRODUCTIVE
2026-03-24T22:54:36.071986,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,PRODUCTIVE
2026-03-24T22:54:51.043171,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,PRODUCTIVE
2026-03-24T22:54:51.120512,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,PRODUCTIVE
2026-03-24T22:55:35.111505,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,PRODUCTIVE
2026-03-24T22:55:35.196131,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,PRODUCTIVE
2026-03-24T22:55:42.153490,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,PRODUCTIVE
2026-03-24T22:55:42.249949,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,PRODUCTIVE
2026-03-24T22:55:46.207285,"Manager","Antigravity.exe","","learning python",deep,0.038,0,50.0,PRODUCTIVE
2026-03-24T22:55:46.339751,"Manager","Antigravity.exe","","learning python",deep,0.038,0,50.0,PRODUCTIVE
2026-03-24T22:55:50.330424,"Antigravity","Antigravity.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T22:55:50.675686,"Settings","Antigravity.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T22:55:51.765718,"Settings","Antigravity.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T22:56:04.926176,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T22:56:21.869902,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T22:56:26.879092,"ChatGPT - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T22:56:27.019633,"ChatGPT - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T22:56:27.880947,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T22:56:28.059234,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,PRODUCTIVE
2026-03-24T22:56:28.884386,"(5) G-5. Breadth-First Search (BFS) | C++ and Java | Traversal Technique in Graphs - YouTube - Brave","brave.exe","","learning python",deep,0,10,60.0,PRODUCTIVE
2026-03-24T22:56:29.097532,"(5) G-5. Breadth-First Search (BFS) | C++ and Java | Traversal Technique in Graphs - YouTube - Brave","brave.exe","","learning python",deep,0.167,10,60.0,PRODUCTIVE
2026-03-24T22:56:29.887429,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T22:56:30.130217,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,PRODUCTIVE
2026-03-24T22:56:32.893152,"New Tab - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T22:56:33.164164,"New Tab - Google Chrome","chrome.exe","","learning python",deep,0.012,0,50.0,WARNING
2026-03-24T22:56:35.193499,"Google Search - Google Chrome","chrome.exe","","learning python",deep,0.022,0,50.0,WARNING
2026-03-24T22:56:35.943067,"youtube - Google Search - Google Chrome","chrome.exe","","learning python",deep,0.084,-10,90.0,WARNING
2026-03-24T22:56:36.231272,"youtube - Google Search - Google Chrome","chrome.exe","","learning python",deep,0.084,-10,90.0,WARNING
2026-03-24T22:56:36.984744,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:56:37.271827,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:56:41.307840,"youtube - Google Search - Google Chrome","chrome.exe","","learning python",deep,0.084,-10,90.0,WARNING
2026-03-24T22:56:42.021365,"youtube - Google Search - Google Chrome","chrome.exe","","learning python",deep,0.084,-10,90.0,WARNING
2026-03-24T22:56:43.344400,"YouTube - Google Chrome","chrome.exe","","learning python",deep,0.044,-10,90.0,WARNING
2026-03-24T22:56:44.055831,"YouTube - Google Chrome","chrome.exe","","learning python",deep,0.044,-10,90.0,WARNING
2026-03-24T22:56:45.393154,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:56:46.104324,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:56:50.426836,"YouTube - Google Chrome","chrome.exe","","learning python",deep,0.044,-10,90.0,WARNING
2026-03-24T22:56:51.135161,"YouTube - Google Chrome","chrome.exe","","learning python",deep,0.044,-10,90.0,WARNING
2026-03-24T22:57:00.211522,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
